alert_id,created_at,region,message,emergency_level,disaster_category
259276,2026/06/10 22:24:28,충청남도 천안시 서북구 ,오늘 20:20 천안시 서북구 성거음 오목리 12-4 화재 진화 작업으로 인한 연기 다량발생으로 인근 주민은 창문단속 등 안전에 유의하시기 바랍니다.[천안시],안전안내,화재
259275,2026/06/10 21:57:13,부산광역시 동래구 온천동,"금강공원 케이블카(동래구 온천동 산 20-1) 인근 멧돼지가 출몰하였으니, 인근 주민께서는 안전에 유의해 주시기 바랍니다.[동래구]",안전안내,기타
259270,2026/06/10 19:14:16,경기도 안성시 ,"오늘 18:53 대덕면 소내리 공장 화재 발생. 주변 차량은 도로를 우회하고, 인근 주민은 창문을 닫아주시기 바랍니다.[안성시]",안전안내,화재
259274,2026/06/10 21:26:30,충청남도 천안시 서북구 ,"오늘 20:20 천안시 서북구 성거음 오목리 12-4 화재로 인한 연기 다량발생. 인근 주민은 안전에 유의하시고, 차량은 우회하세요. [천안시]",안전안내,화재
259267,2026/06/10 13:32:30,경상남도 김해시 생림면,"오늘 13:00 김해시 생림면 봉림리 일원 작업장 화재 발생, 연기가 다량 발생중이니 인근 주민은 안전사고에 유의하시기 바랍니다 [김해시]",안전안내,화재
259273,2026/06/10 20:46:07,충청남도 천안시 서북구 ,"오늘 20:20 천안시 서북구 성거음 오목리 12-4 리뉴에너지그린 화재발생. 인근 주민은 안전에 유의하시고, 차량은 우회하세요.  [천안시]",안전안내,화재
259266,2026/06/10 11:37:53,충청남도 홍성군 ,금마중학교 인근 판넬 적치물 화재 발생. 인근 주민은 연기 흡입에 유의하시고 주변 차량은 우회 및 현장 주변 접근을 자제 바랍니다.[홍성군],안전안내,화재
259247,2026/06/09 00:50:17,충청북도 진천군 ,"오늘 00:36 진천군 이월면 사곡리 가구공장 화재 사고 발생. 인근 주민은 사고지점에서 먼 곳으로 이동하시고, 차량은 우회하세요.  [진천군]",안전안내,화재
259248,2026/06/09 09:00:18,경상남도 거제시 ,금일 6. 9.(화) 10시부터 14시까지 투르 드 경남 국제 자전거대회 개최로 일부 구간(지세포항~망치삼거리~오망천삼거리~저구사거리~망치삼거리~거제제일고등학교) 차량 일시 정차 통제 예정. 안전요원 안내에 협조 바랍니다.[거제시],안전안내,기타
259257,2026/06/09 13:59:23,경상남도 하동군 ,"<주암댐방류안내>6월9일14시부터 주암댐 초당200톤이내 수문방류중 섬진강 하천수위 상승 침수위험 예상됩니다 하천주변(둔치주차장,산책로,저지대 등)에 계신 주민, 관광객들은 안전한 곳으로 대피. 특히 만조와 겹칠 때 위험성 높아지니 재난방송 귀 기울여 안전확보 바랍니다[하동군]",안전안내,붕괴
259258,2026/06/09 14:00:51,대구광역시 달성군 유가읍,"오늘 13:43경 유가읍 도의리 672-3 창고 화재 발생 인근 주민은 접근금지,안전에 유의하시기 바랍니다. [달성군]",안전안내,화재
259260,2026/06/09 17:39:08,강원특별자치도 춘천시 ,금일 후평동 일대 발생한 정전이 17시 복구 완료. 정전이 계속되는 고객께서는 고객센터(123)로 연락해주시기 바랍니다. 불편을 드려 죄송합니다. [한국전력공사],안전안내,정전
259249,2026/06/09 10:01:36,경상남도 산청군 ,"작은 불씨가 큰 산불로 커질 수 있습니다. 영농부산물 및 쓰레기 불법소각 금지, 실수로 산불을 내더라도 3년 이하의 징역형에 처해질 수 있습니다.  [산청군]",안전안내,산불
259250,2026/06/09 10:22:33,강원특별자치도 강릉시 ,"높은 파도와 이안류로 해변 안전사고 우려가 높습니다. 물놀이 구명조끼 착용, 위험구역 미출입, 야간 및 음주 후 무리한 입수 금지 등 안전에 유의하여 주시기 바랍니다. [강릉시]",안전안내,풍랑
259261,2026/06/09 18:13:44,전라남도 강진군 ,강진고 약수터~건우1차 맞은편 옹벽 긴급안전점검으로 도로 통제중입니다. 차량 우회 및 통행 금지 바랍니다. [강진군],안전안내,기타
259259,2026/06/09 15:54:35,강원특별자치도 춘천시 ,"2026-06-09 15:06~현재, 후평동 일부지역 정전 중으로 원인 파악중 입니다. 신고 123 [한국전력공사]",안전안내,정전
259251,2026/06/09 10:38:58,전라남도 곡성군 오곡면,"6월 9일 14시부터 주암댐 초당 최대 200톤 이내로 방류개시, 수위가 높아질 것으로 예상, 하천 주변에 계신 분은 안전한곳으로 이동해주시기 바랍니다.[곡성군]",안전안내,기타
259252,2026/06/09 10:40:14,전라남도 곡성군 죽곡면,"6월 9일 14시부터 주암댐 초당 최대 200톤 이내로 방류개시, 수위가 높아질 것으로 예상, 하천 주변에 계신 분은 안전한곳으로 이동해주시기 바랍니다.[곡성군]",안전안내,기타
259253,2026/06/09 10:45:43,전라남도 구례군 ,"섬진강댐 수문방류로 구례교 06-09 23:40, 06-10 00:30 급격한 하천 수위 상승이 예상됩니다. 하천주변 접근을 삼가하여 주시기 바랍니다.[구례군]",안전안내,기타
259254,2026/06/09 10:50:17,"경상남도 하동군 ,전라남도 곡성군 ,전라남도 광양시 ,전라남도 구례군 ,전라남도 순천시 ","6월 9일 14시부터 주암댐 초당 200톤 이내 방류 개시, 수위가 높아질 것으로 예상, 하천 주변에 계신 분은 안전한 곳으로 이동 [한국수자원공사]",안전안내,기타
259255,2026/06/09 10:50:34,"전라남도 강진군 ,전라남도 장흥군 ","6월 9일 14시부터 장흥댐 초당 70톤 이내로 방류 개시, 수위가 높아질 것으로 예상, 하천 주변에 계신 분은 안전한 곳으로 이동 [한국수자원공사]",안전안내,기타
259256,2026/06/09 11:57:39,전라남도 곡성군 석곡면,"6월 9일 14시부터 주암댐 초당 최대 200톤 이내로 방류개시, 수위가 높아질 것으로 예상, 하천 주변에 계신 분은 안전한곳으로 이동해주시기 바랍니다.[곡성군]",안전안내,기타
259240,2026/06/08 10:00:08,경상남도 거제시 ,6. 9.(화) 10시부터 14시까지 투르 드 경남 국제 자전거대회 개최로 일부 구간(지세포항~망치삼거리~오망천삼거리~저구사거리~망치삼거리~거제제일고등학교) 차량 일시정차 통제 예정. 안전요원 안내에 협조 바랍니다.[거제시],안전안내,기타
259243,2026/06/08 13:44:39,경기도 김포시 ,금일 13시 30분 장기지하차도 강화방면 도로 통제 해제. 차량 운행 시 안전거리 확보 및 감속운전 등 안전운전에 유의 바랍니다.[김포시],안전안내,기타
259244,2026/06/08 13:46:24,강원특별자치도 속초시 ,"동해안에 너울성 파도가 계속 유입되어 연안사고가 지속 발생하고 있으니 방파제, 해안가, 갯바위 등 위험구역 접근을 자제하여 주시기 바랍니다. [속초시]",안전안내,풍랑
259241,2026/06/08 10:20:20,경기도 김포시 ,금일 장기지하차도 강화방면 사고로 인한 보수공사로 10:10 ~ 12:00까지 전면통제 중이오니 우회하시기 바랍니다.[김포시],안전안내,기타
259237,2026/06/08 08:14:01,경상남도 진주시 평거동,"수도관 파손에 따른 긴급복구공사로 금일 8:30~12:00 판문, 평거동 단수예정. 단수 전 필요한 물을 미리 받아두시기 바라며 혼탁수는 흘려보내 사용[진주시]",안전안내,기타
